Method,Al,Ba,Ca,Ce,Distance,Fe,K,La,Li,Mg,Mn,Na,Rb,Si,Sr,Ti,Xan,Y,Si_sd,Li_sd,Mg_sd,K_sd,Ti_sd,Ca_sd,Sr_sd,Rb_sd,Y_sd,Ba_sd,La_sd,Ce_sd,Xan_sd,Fe_sd,Al_sd,Mn_sd,Na_sd,Profile
EPMA,164212.775906677,,107776.796998434,,0,5988.3565037776,416.7341840418,,,1324.538402699,151.7936659646,20815.0207038536,,228761.247838454,,347.6188806723,0.7481228275,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,7.2712859775,81940.9444251969,0.4202669877,0.6066230086,,252.3825560993,0.246823469,0.9050193862,1222.9991705253,,,,229034.390116561,164.548979307,246.8234689606,0.7485034848,0.1055114739,1014.4433097088,0.1376904331,5.9837438553,9.1106771425,20.3507539133,801.4712051289,5.1408028943,,0.0834141442,1.8409897588,0.1893002642,0.2050760239,,,,,,SKU_1_C3_P3
EPMA,164825.113210841,,108703.750922832,,4.9902836007,5910.6260195645,400.1312285023,,,1204.2972331697,255.5709682058,20646.6191891421,,231008.207501793,,366.1985105014,0.751254242,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,163008.741881636,,107408.731253589,,10.0770293156,5766.0473189281,282.2502441717,,,1244.6767303997,-171.1551029499,20269.014030604,,232316.557844562,,293.0786769806,0.7524619743,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,163950.270026932,,108512.213797359,,15.0409489157,5689.8714443993,303.0039385961,,,1242.8820860783,833.3162478467,20542.0173672288,,230725.876809749,,364.9998247059,0.7518733173,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,7.408579011,83150.6677520066,0.4308614682,15.8357473271,,249.5639153257,0.1891313977,0.825911074,1208.6503522499,,,,230538.863484702,170.1063458722,231.6579841812,0.7538315661,0.1656298631,1021.1069506675,0.125654826,5.9135396759,9.0089279311,19.1003499302,813.3036097883,5.314424914,,0.130941904,1.8757504696,0.1450535628,0.2102457708,,,,,,SKU_1_C3_P3
EPMA,163349.046882999,,111037.216276076,,20.0312325165,5601.2586923964,200.0656142511,,,1203.8485720893,-47.2419062441,19656.9820938773,,229551.680289194,,390.7715693075,0.7641685318,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,165044.750186838,,109688.594799331,,24.9951521166,5573.2757180796,154.4074865175,,,1167.5070245823,389.5521121439,18950.7343317392,,229227.280454295,,300.2707917532,0.768532043,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,6.7141326554,85705.2363799438,0.3912872011,26.898524883,,212.317771058,0.2156526052,0.7792395681,1167.1919351354,,,,228991.941559902,164.5184822858,202.3132687568,0.7716449733,0.1289469185,1014.2552957853,0.1185541827,5.7106968984,7.6643912861,16.6808592522,838.2900583969,5.1398501131,,0.1019414899,1.6999261886,0.1653938959,0.1909348718,,,,,,SKU_1_C3_P3
EPMA,166608.142059353,,112565.939826026,,29.9854357173,4893.133981215,420.8849229267,,,1150.90656461,274.1579477116,18564.9687473781,,228610.266359099,,324.2445076616,0.7766935579,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
